sample_id,domain,model,task_id,standard,policy,progress,full_progress,n_standard,n_policy,n_progress,n_full_progress,standard_rate,policy_rate,progress_rate,full_progress_rate,full_rate_beats_standard,full_rate_beats_simpler,simpler_rate_matches_or_beats_full,any_scaffold_rate_beats_standard,standard_rate_matches_or_beats_scaffold,full_unstable,strict_stable_full_only,policy_rate_beats_standard,progress_rate_beats_standard,full_progress_rate_beats_standard,policy_unstable,progress_unstable,full_progress_unstable
E18-TAU2-SCAFFOLD-REPAIR-001,airline,openai/deepseek/deepseek-v4-pro,11,5,4,5,4,5,5,5,5,1.0000,0.8000,1.0000,0.8000,0,0,1,0,1,1,0,0,0,0,1,0,1
E18-TAU2-SCAFFOLD-REPAIR-002,airline,openai/deepseek/deepseek-v4-pro,18,1,1,3,3,5,5,5,5,0.2000,0.2000,0.6000,0.6000,1,0,1,1,0,1,0,0,1,1,1,1,1
E18-TAU2-SCAFFOLD-REPAIR-003,airline,openai/deepseek/deepseek-v4-pro,4,5,4,3,4,5,5,5,5,1.0000,0.8000,0.6000,0.8000,0,0,1,0,1,1,0,0,0,0,1,1,1
E18-TAU2-SCAFFOLD-REPAIR-004,airline,openai/deepseek/deepseek-v4-pro,5,5,5,4,5,5,5,5,5,1.0000,1.0000,0.8000,1.0000,0,0,1,0,1,0,0,0,0,0,0,1,0
E18-TAU2-SCAFFOLD-REPAIR-005,airline,openai/deepseek/deepseek-v4-pro,6,5,5,4,5,5,5,5,5,1.0000,1.0000,0.8000,1.0000,0,0,1,0,1,0,0,0,0,0,0,1,0
E18-TAU2-SCAFFOLD-REPAIR-006,airline,openai/qwen/qwen3.7-plus,1,4,4,2,4,5,5,5,5,0.8000,0.8000,0.4000,0.8000,0,0,1,0,1,1,0,0,0,0,1,1,1
E18-TAU2-SCAFFOLD-REPAIR-007,airline,openai/qwen/qwen3.7-plus,11,4,4,5,1,5,5,5,5,0.8000,0.8000,1.0000,0.2000,0,0,1,1,0,1,0,0,1,0,1,0,1
E18-TAU2-SCAFFOLD-REPAIR-008,airline,openai/qwen/qwen3.7-plus,16,4,4,4,5,5,5,5,5,0.8000,0.8000,0.8000,1.0000,1,1,0,1,0,0,0,0,0,1,1,1,0
E18-TAU2-SCAFFOLD-REPAIR-009,airline,openai/qwen/qwen3.7-plus,4,0,0,0,0,5,5,5,5,0.0000,0.0000,0.0000,0.0000,0,0,1,0,1,0,0,0,0,0,0,0,0
E18-TAU2-SCAFFOLD-REPAIR-010,airline,openai/qwen/qwen3.7-plus,5,2,3,1,4,5,5,5,5,0.4000,0.6000,0.2000,0.8000,1,1,0,1,0,1,0,1,0,1,1,1,1
E18-TAU2-SCAFFOLD-REPAIR-011,airline,openai/qwen/qwen3.7-plus,6,3,0,2,2,5,5,5,5,0.6000,0.0000,0.4000,0.4000,0,0,1,0,1,1,0,0,0,0,0,1,1
E18-TAU2-SCAFFOLD-REPAIR-012,retail,openai/deepseek/deepseek-v4-pro,18,4,3,3,4,5,5,5,5,0.8000,0.6000,0.6000,0.8000,0,0,1,0,1,1,0,0,0,0,1,1,1
E18-TAU2-SCAFFOLD-REPAIR-013,retail,openai/deepseek/deepseek-v4-pro,8,5,4,3,4,5,5,5,5,1.0000,0.8000,0.6000,0.8000,0,0,1,0,1,1,0,0,0,0,1,1,1
E18-TAU2-SCAFFOLD-REPAIR-014,retail,openai/deepseek/deepseek-v4-pro,9,3,3,2,3,5,5,5,5,0.6000,0.6000,0.4000,0.6000,0,0,1,0,1,1,0,0,0,0,1,1,1
E18-TAU2-SCAFFOLD-REPAIR-015,retail,openai/qwen/qwen3.7-plus,14,3,3,3,4,5,5,5,5,0.6000,0.6000,0.6000,0.8000,1,1,0,1,0,1,0,0,0,1,1,1,1
E18-TAU2-SCAFFOLD-REPAIR-016,retail,openai/qwen/qwen3.7-plus,6,0,1,1,1,5,5,5,5,0.0000,0.2000,0.2000,0.2000,1,0,1,1,0,1,0,1,1,1,1,1,1
E18-TAU2-SCAFFOLD-REPAIR-017,telecom,openai/bytedance/doubao-seed-2-1-pro,[mobile_data_issue]user_abroad_roaming_disabled_on[PERSONA:Easy],2,3,1,3,5,5,5,5,0.4000,0.6000,0.2000,0.6000,1,0,1,1,0,1,0,1,0,1,1,1,1
E18-TAU2-SCAFFOLD-REPAIR-018,telecom,openai/deepseek/deepseek-v4-pro,[mobile_data_issue]bad_network_preference[PERSONA:Hard],2,3,2,3,5,5,5,5,0.4000,0.6000,0.4000,0.6000,1,0,1,1,0,1,0,1,0,1,1,1,1
E18-TAU2-SCAFFOLD-REPAIR-019,telecom,openai/deepseek/deepseek-v4-pro,[mobile_data_issue]data_usage_exceeded[PERSONA:Easy],5,3,2,3,5,5,5,5,1.0000,0.6000,0.4000,0.6000,0,0,1,0,1,1,0,0,0,0,1,1,1
